Datetime;Monthly;Average daily
2008-05-01;6608910;717430
2008-06-01;6362910;679620
2008-07-01;6423440;665290
2008-08-01;6273210;698350
2008-09-01;7038170;801190
2008-10-01;7873560;935780
2008-11-01;8112760;982620
2008-12-01;8888870;1138770
2009-01-01;9151460;1203520
2009-02-01;9405490;1371980
2009-03-01;10170730;1445300
2009-04-01;10045830;1430390
2009-05-01;9239910;1383150
2009-06-01;9914810;1385490
2009-07-01;10189330;1298200
2009-08-01;10444950;1401980
2009-09-01;11256160;1632300
2009-10-01;12531970;1919370
2009-11-01;12643960;2053860
2009-12-01;13598330;2169640
2010-01-01;13878000;2201970
2010-02-01;14365620;2395930
2010-03-01;15159670;2498350
2010-04-01;15208940;2549290
2010-05-01;15060060;2401340
2010-06-01;14900380;2197910
2010-07-01;14051340;1925160
2010-08-01;14930270;2173590
2010-09-01;16141740;2554750
2010-10-01;16802280;2771380
2010-11-01;17256740;3001210
2010-12-01;17969740;3193900
2011-01-01;18225270;3066350
2011-02-01;18000560;3267190
2011-03-01;18831930;3313330
2011-04-01;18662410;3245980
2011-05-01;18296440;3057710
2011-06-01;17381350;2714070
2011-07-01;16676880;2346390
2011-08-01;17216420;2620260
2011-09-01;18321700;3124320
2011-10-01;19677190;3421850
2011-11-01;20016030;3664720
2011-12-01;20346780;3734140
2012-01-01;20897560;3615150
2012-02-01;21481460;4042360
2012-03-01;22191710;4024470
2012-04-01;21239110;3637160
2012-05-01;19876770;3363090
2012-06-01;29515380;4395560
2012-07-01;27631420;3866370
2012-08-01;27907300;4141200
2012-09-01;28500650;4345210
2012-10-01;29164040;4595470
2012-11-01;30432140;4628480
2012-12-01;30907520;4840780
2013-01-01;33143620;4858270
2013-02-01;32871000;5300010
2013-03-01;35100580;5326580
2013-04-01;34360980;5283810
2013-05-01;33349350;4739290
2013-06-01;31333670;4274160
2013-07-01;30679930;4061080
2013-08-01;29011240;3781060
2013-09-01;30182000;4291690
2013-10-01;31962660;4612180
2013-11-01;32123110;4762140
2013-12-01;32375160;4791450
2014-01-01;32324980;4728220
2014-02-01;32151740;5085730
2014-03-01;32622540;4919640
2014-04-01;32020560;4708550
2014-05-01;31933120;4286750
2014-06-01;28534090;3480990
2014-07-01;27600280;3115860
2014-08-01;28128990;3298930
2014-09-01;28829550;3736290
2014-10-01;31024650;4219220
2014-11-01;30116810;4235590
2014-12-01;31289470;4403860
2015-01-01;30087700;4038620
2015-02-01;29420840;4333740
2015-03-01;30668450;4357980
2015-04-01;29825410;4126060
2015-05-01;28011060;3394180
2015-06-01;26367900;3299300
2015-07-01;26398740;3217110
2015-08-01;25830840;3301370
2015-09-01;27519090;4033300
2015-10-01;29437160;4580000
2015-11-01;29199810;4776930
2015-12-01;29456920;4768930
2016-01-01;28616760;4416050
2008-05-01;6608910;717430
2008-06-01;6362910;679620
2008-07-01;6423440;665290
2008-08-01;6273210;698350
2008-09-01;7038170;801190
2008-10-01;7873560;935780
2008-11-01;8112760;982620
2008-12-01;8888870;1138770
2009-01-01;9151460;1203520
2009-02-01;9405490;1371980
2009-03-01;10170730;1445300
2009-04-01;10045830;1430390
2009-05-01;9239910;1383150
2009-06-01;9914810;1385490
2009-07-01;10189330;1298200
2009-08-01;10444950;1401980
2009-09-01;11256160;1632300
2009-10-01;12531970;1919370
2009-11-01;12643960;2053860
2009-12-01;13598330;2169640
2010-01-01;13878000;2201970
2010-02-01;14365620;2395930
2010-03-01;15159670;2498350
2010-04-01;15208940;2549290
2010-05-01;15060060;2401340
2010-06-01;14900380;2197910
2010-07-01;14051340;1925160
2010-08-01;14930270;2173590
2010-09-01;16141740;2554750
2010-10-01;16802280;2771380
2010-11-01;17256740;3001210
2010-12-01;17969740;3193900
2011-01-01;18225270;3066350
2011-02-01;18000560;3267190
2011-03-01;18831930;3313330
2011-04-01;18662410;3245980
2011-05-01;18296440;3057710
2011-06-01;17381350;2714070
2011-07-01;16676880;2346390
2011-08-01;17216420;2620260
2011-09-01;18321700;3124320
2011-10-01;19677190;3421850
2011-11-01;20016030;3664720
2011-12-01;20346780;3734140
2012-01-01;20897560;3615150
2012-02-01;21481460;4042360
2012-03-01;22191710;4024470
2012-04-01;21239110;3637160
2012-05-01;19876770;3363090
2012-06-01;29515380;4395560
2012-07-01;27631420;3866370
2012-08-01;27907300;4141200
2012-09-01;28500650;4345210
2012-10-01;29164040;4595470
2012-11-01;30432140;4628480
2012-12-01;30907520;4840780
2013-01-01;33143620;4858270
2013-02-01;32871000;5300010
2013-03-01;35100580;5326580
2013-04-01;34360980;5283810
2013-05-01;33349350;4739290
2013-06-01;31333670;4274160
2013-07-01;30679930;4061080
2013-08-01;29011240;3781060
2013-09-01;30182000;4291690
2013-10-01;31962660;4612180
2013-11-01;32123110;4762140
2013-12-01;32375160;4791450
2014-01-01;32324980;4728220
2014-02-01;32151740;5085730
2014-03-01;32622540;4919640
2014-04-01;32020560;4708550
2014-05-01;31933120;4286750
2014-06-01;28534090;3480990
2014-07-01;27600280;3115860
2014-08-01;28128990;3298930
2014-09-01;28829550;3736290
2014-10-01;31024650;4219220
2014-11-01;30116810;4235590
2014-12-01;31289470;4403860
2015-01-01;30087700;4038620
2015-02-01;29420840;4333740
2015-03-01;30668450;4357980
2015-04-01;29825410;4126060
2015-05-01;28011060;3394180
2015-06-01;26367900;3299300
2015-07-01;26398740;3217110
2015-08-01;25830840;3301370
2015-09-01;27519090;4033300
2015-10-01;29437160;4580000
2015-11-01;29199810;4776930
2015-12-01;29456920;4768930
2016-01-01;28616760;4416050
