Datetime;Monthly;Average daily
2008-05-01;4510200;775210
2008-06-01;4513560;742280
2008-07-01;4528320;707450
2008-08-01;4447400;723000
2008-09-01;4599410;836250
2008-10-01;4105490;678050
2008-11-01;4199800;694710
2008-12-01;4639740;765850
2009-01-01;5036520;807700
2009-02-01;5059180;850640
2009-03-01;5083990;816500
2009-04-01;6285780;1221530
2009-05-01;6368780;1321110
2009-06-01;7166990;1469960
2009-07-01;7363200;1391040
2009-08-01;7209850;1348900
2009-09-01;6936810;1322590
2009-10-01;7140300;1318810
2009-11-01;6219700;1165410
2009-12-01;8930740;1835700
2010-01-01;9211290;1882470
2010-02-01;8413340;1702640
2010-03-01;8177800;1714750
2010-04-01;8858280;1819290
2010-05-01;9843720;2072199
2010-06-01;10090950;2197100
2010-07-01;9771510;2038120
2010-08-01;10172860;2152110
2010-09-01;9687650;2061050
2010-10-01;8923220;1802650
2010-11-01;9975080;2034020
2010-12-01;10788170;2407370
2011-01-01;9830440;2044700
2011-02-01;10250860;2291670
2011-03-01;9898580;2111650
2011-04-01;10740120;2320760
2011-05-01;11397710;2484150
2011-06-01;11217250;2456600
2011-07-01;10910540;2192980
2011-08-01;10418810;2170250
2011-09-01;10048590;2065850
2011-10-01;9952460;2066030
2011-11-01;10350840;2324360
2011-12-01;9872870;2192080
2012-01-01;11926510;2640790
2012-02-01;13080830;3020940
2012-03-01;11975110;2632110
2012-04-01;13440320;3025460
2012-05-01;13904820;3151010
2012-06-01;18286870;3685710
2012-07-01;18015000;3263000
2012-08-01;17718560;3196730
2012-09-01;16448119;3047800
2012-10-01;16990950;3173470
2012-11-01;16848720;3187290
2012-12-01;21174770;4100810
2013-01-01;19785670;3452640
2013-02-01;17612410;3071870
2013-03-01;22419610;4272810
2013-04-01;22218120;4463420
2013-05-01;23203790;4250820
2013-06-01;21763970;3834090
2013-07-01;20977330;3410450
2013-08-01;19018210;2967420
2013-09-01;18689200;3185670
2013-10-01;17355820;2963610
2013-11-01;17463750;2988960
2013-12-01;18092620;3183930
2014-01-01;21656060;4149550
2014-02-01;18400390;3641880
2014-03-01;18084590;3288260
2014-04-01;19066730;3543700
2014-05-01;19981930;3671830
2014-06-01;19630050;3469880
2014-07-01;17436440;3024130
2014-08-01;16775400;2856470
2014-09-01;15703130;2753510
2014-10-01;17753200;3148740
2014-11-01;16486840;2780130
2014-12-01;16639520;2709220
2015-01-01;17794190;3208260
2015-02-01;14643390;2755230
2015-03-01;16435050;2939440
2015-04-01;17128900;3310860
2015-05-01;18204030;3346220
2015-06-01;17875470;3474040
2015-07-01;17478620;3203570
2015-08-01;16272140;2891560
2015-09-01;14912830;2876710
2015-10-01;15365980;3067440
2015-11-01;14171330;2798830
2015-12-01;14409400;2795730
2016-01-01;16368180;3391300
2008-05-01;4510200;775210
2008-06-01;4513560;742280
2008-07-01;4528320;707450
2008-08-01;4447400;723000
2008-09-01;4599410;836250
2008-10-01;4105490;678050
2008-11-01;4199800;694710
2008-12-01;4639740;765850
2009-01-01;5036520;807700
2009-02-01;5059180;850640
2009-03-01;5083990;816500
2009-04-01;6285780;1221530
2009-05-01;6368780;1321110
2009-06-01;7166990;1469960
2009-07-01;7363200;1391040
2009-08-01;7209850;1348900
2009-09-01;6936810;1322590
2009-10-01;7140300;1318810
2009-11-01;6219700;1165410
2009-12-01;8930740;1835700
2010-01-01;9211290;1882470
2010-02-01;8413340;1702640
2010-03-01;8177800;1714750
2010-04-01;8858280;1819290
2010-05-01;9843720;2072199
2010-06-01;10090950;2197100
2010-07-01;9771510;2038120
2010-08-01;10172860;2152110
2010-09-01;9687650;2061050
2010-10-01;8923220;1802650
2010-11-01;9975080;2034020
2010-12-01;10788170;2407370
2011-01-01;9830440;2044700
2011-02-01;10250860;2291670
2011-03-01;9898580;2111650
2011-04-01;10740120;2320760
2011-05-01;11397710;2484150
2011-06-01;11217250;2456600
2011-07-01;10910540;2192980
2011-08-01;10418810;2170250
2011-09-01;10048590;2065850
2011-10-01;9952460;2066030
2011-11-01;10350840;2324360
2011-12-01;9872870;2192080
2012-01-01;11926510;2640790
2012-02-01;13080830;3020940
2012-03-01;11975110;2632110
2012-04-01;13440320;3025460
2012-05-01;13904820;3151010
2012-06-01;18286870;3685710
2012-07-01;18015000;3263000
2012-08-01;17718560;3196730
2012-09-01;16448119;3047800
2012-10-01;16990950;3173470
2012-11-01;16848720;3187290
2012-12-01;21174770;4100810
2013-01-01;19785670;3452640
2013-02-01;17612410;3071870
2013-03-01;22419610;4272810
2013-04-01;22218120;4463420
2013-05-01;23203790;4250820
2013-06-01;21763970;3834090
2013-07-01;20977330;3410450
2013-08-01;19018210;2967420
2013-09-01;18689200;3185670
2013-10-01;17355820;2963610
2013-11-01;17463750;2988960
2013-12-01;18092620;3183930
2014-01-01;21656060;4149550
2014-02-01;18400390;3641880
2014-03-01;18084590;3288260
2014-04-01;19066730;3543700
2014-05-01;19981930;3671830
2014-06-01;19630050;3469880
2014-07-01;17436440;3024130
2014-08-01;16775400;2856470
2014-09-01;15703130;2753510
2014-10-01;17753200;3148740
2014-11-01;16486840;2780130
2014-12-01;16639520;2709220
2015-01-01;17794190;3208260
2015-02-01;14643390;2755230
2015-03-01;16435050;2939440
2015-04-01;17128900;3310860
2015-05-01;18204030;3346220
2015-06-01;17875470;3474040
2015-07-01;17478620;3203570
2015-08-01;16272140;2891560
2015-09-01;14912830;2876710
2015-10-01;15365980;3067440
2015-11-01;14171330;2798830
2015-12-01;14409400;2795730
2016-01-01;16368180;3391300
